Complex name	Complex size	Organism	Number of RNA-binding subunits	Number of SUMOylated subunits	RNA binding	SUMOylated	RNA.SUMO
TRBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)	25	human	24	22	TRUE	TRUE	TRUE.TRUE
RNA-induced silencing complex, RISC	4	human	4	1	TRUE	TRUE	TRUE.TRUE
ARNT-HIF1A complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
TRIB3-DDIT3 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
RAG1-RAG2 tetramer complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
GAIT complex	4	human	3	4	TRUE	TRUE	TRUE.TRUE
MLL1-WDR5 complex	27	human	4	15	TRUE	TRUE	TRUE.TRUE
SERPINA1-ELA2 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
SERPINA3-CTSG complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
SERPINA1-CTSG complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
BRCC complex	5	human	1	2	TRUE	TRUE	TRUE.TRUE
PLEKHM2-KIF5B complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
NGF-TrkA complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Neurotrophin-3-p75 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
TIAM1-GRIN1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
EDG1-HTR1D complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
HTR1D  homodimer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
HTR1A-HTR1D complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
HTR1B homodimer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
HTR1A-HTR1B complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
HTR1D-HTR1B complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
GABBR2-HTR1A complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
HTR1A-GPR26 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
HTR1A-EDG3 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
HTR1A homodimer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
HTR1A-EDG1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
HSP70-BAG5-PARK2 complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
NGF-p75 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
ANCO1-HDAC3  complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
NRG1-IKZF4 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
EPOR receptor complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
CRKII-C3G complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
EPO-EPOR complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Splicing-associated factors complex	5	human	5	3	TRUE	TRUE	TRUE.TRUE
Mediator complex	32	human	0	6	FALSE	TRUE	FALSE.TRUE
MED18-MED20-MED29 mediator subcomplex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
p50-p65 NF(kappa)B complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
p50-p65 NF(kappa)B-SRC1 complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
I(kappa)B(alpha)-NF(kappa)Bp50-NF(kappa)Bp65 complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
IKB(epsilon)-RELA-cREL complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
IKB(beta)-RELA-cREL complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
IKB(alpha)-RELA-cREL complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
MURR1-NF(kappa)Bp65-IKBA complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
TFIIH transcription factor complex (ERCC2, ERCC3, GTF2H1, CDK7, CCNH, GTF2H2)	6	human	1	1	TRUE	TRUE	TRUE.TRUE
ILK-PARVB-ARHGEF6 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
PARVB-ARHGEF6 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
EED-EZH-YY1 polycomb complex	3	human	2	1	TRUE	TRUE	TRUE.TRUE
Polycomb repressive complex	4	human	1	2	TRUE	TRUE	TRUE.TRUE
BMI1-HPH1-HPH2 complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
EED-EZH polycomb complex	2	human	1	0	TRUE	FALSE	TRUE.FALSE
CALM1-FKBP38-BCL2 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
TRAF2-cIAP1/BIRC2 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Homodimeric complex LTBR	1	human	0	0	FALSE	FALSE	FALSE.FALSE
Tumor necrosis factor receptor 1 signaling complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
PLCB1-PARD3-PARD6A complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
PLCB3-PARD3-PARD6A complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
TRAF2-TRADD complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Ternary complex (TRAF2, FADD, TRADD)	3	human	0	0	FALSE	FALSE	FALSE.FALSE
CCNB2-CDC2 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
CCNB1-CDC2 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
CDC2-PCNA-CCNB1-GADD45A complex	4	human	0	3	FALSE	TRUE	FALSE.TRUE
CDC2-PCNA-CCNB1-GADD45B complex	4	human	0	2	FALSE	TRUE	FALSE.TRUE
CDC2-PCNA-CCNB1-GADD45G complex	4	human	0	2	FALSE	TRUE	FALSE.TRUE
IL-12 subunit p40 homodimer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
CDC2-CCNB1-CCNF complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
CDC2-CCNB1-PTCH1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
CDK2-CCNA2 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
CDC2-CCNA2 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
PAR6-CDC42 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
CDC2-CCNA2-CDK2 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
CDK2-CCNE1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
LMO4-gp130 complex	5	human	0	0	FALSE	FALSE	FALSE.FALSE
Stat1-alpha-dimer-CBP DNA-protein complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
SHP-NR5A2 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
CNTF-CNTFR-gp130-LIFR complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
LIFR-LIF-gp130 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
LINC complex, S-phase	7	human	0	4	FALSE	TRUE	FALSE.TRUE
LINC core complex	5	human	0	3	FALSE	TRUE	FALSE.TRUE
LINC complex, quiescent cells	7	human	0	3	FALSE	TRUE	FALSE.TRUE
Emerin complex 1	8	human	1	5	TRUE	TRUE	TRUE.TRUE
Emerin-actin-NMI-(alphaII)spectrin complex	4	human	0	3	FALSE	TRUE	FALSE.TRUE
Emerin-actin-NMI complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
Emerin architectural complex	6	human	0	5	FALSE	TRUE	FALSE.TRUE
Emerin regulatory complex	9	human	0	6	FALSE	TRUE	FALSE.TRUE
Emerin complex 24	15	human	2	11	TRUE	TRUE	TRUE.TRUE
Emerin complex 25	16	human	9	13	TRUE	TRUE	TRUE.TRUE
Emerin complex 32	22	human	2	14	TRUE	TRUE	TRUE.TRUE
Emerin complex 52	23	human	13	18	TRUE	TRUE	TRUE.TRUE
HSP90-CIP1-FKBPL complex	3	human	1	1	TRUE	TRUE	TRUE.TRUE
PSD95-FYN-NR2A complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
Securin-separase complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
ESPL1-CDC2 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
FARP2-NRP1-PlexinA1 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
FARP2-NRP1-PlexinA2 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
FARP2-NRP1-PlexinA3 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
FARP2-NRP1-PlexinA4 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
SEMA4A-PlexinD1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Ternary complex (LRRC7, CAMK2a, ACTN4)	3	human	1	1	TRUE	TRUE	TRUE.TRUE
CEBPE-E2F1-RB1 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
TRIM27-RB1 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
hRAD51C-hXRCC3 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Membrane protein complex (VCP, UFD1L, SEC61B)	3	human	2	3	TRUE	TRUE	TRUE.TRUE
SEMA6D-PlexinA1-NRP1 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
TALL1 homo-oligomer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
Nucleolar remodeling complex (NoRC complex)	2	human	1	2	TRUE	TRUE	TRUE.TRUE
TIP5-DNMT-HDAC1 complex	4	human	2	3	TRUE	TRUE	TRUE.TRUE
VEGFA(165)-KDR-NRP1 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
NRP1-VEGF(165/121) complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
PRMT2 homo-oligomer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
CIN85-SH3GL3-CBL complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
IKBKG homotrimer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
NRP1-VEGFC complex, heparin dependent	2	human	0	0	FALSE	FALSE	FALSE.FALSE
NRP2-VEGFC complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
NRP2-VEGFD complex, heparin dependent	2	human	0	0	FALSE	FALSE	FALSE.FALSE
NRP1-VEGFD complex, heparin dependent	2	human	0	0	FALSE	FALSE	FALSE.FALSE
TGF-beta receptor-SMAD3 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
Pre-initiation complex (PIC)	3	human	1	3	TRUE	TRUE	TRUE.TRUE
NRP2-VEGFR3 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
PlexinA1-NRP1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
PlexinA1-NRP1-SEMA3A complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
2AR-mGluR2 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
MRIT complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
SUMO1-SUA1-UBA2 complex	3	human	1	3	TRUE	TRUE	TRUE.TRUE
SUA1-UBA2 complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
PLXNA2-RANBPM complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
PLXNA3-RANBPM complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
PLXNA4-RANBPM complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
CRMP-MICAL-PlexinA1 complex, induced by SEMA3A	3	human	0	0	FALSE	FALSE	FALSE.FALSE
RUNX1-CBF-beta-DNA complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Death induced signaling complex II (FADD, CASP8, CFLAR), cytosolic, CD95L induced	3	human	0	1	FALSE	TRUE	FALSE.TRUE
Death induced signaling complex DISC (FAS, FADD, CASP8, CFLAR), membrane-associated, CD95L induced	4	human	0	1	FALSE	TRUE	FALSE.TRUE
Death-inducing signaling complex DISC (type I cells associated), stimulated	3	human	0	0	FALSE	FALSE	FALSE.FALSE
PGAM5-KEAP1-NRF2 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
GABAA receptor	3	human	0	0	FALSE	FALSE	FALSE.FALSE
Apoptosome-procaspase 9 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
MCL1-BAK1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
IKBKG-IKBKB  complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
IKBKG-CHUK complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
DJ-1-SNCA complex, high molecular weight complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
MAP2K1-BRAF-RAF1-YWHAE-KSR1 complex	5	human	1	1	TRUE	TRUE	TRUE.TRUE
PINK1-MIRO2-Milton complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
MIRO2-Milton complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
PPD complex	3	human	1	1	TRUE	TRUE	TRUE.TRUE
AIF-CYPA-DNA complex	2	human	1	2	TRUE	TRUE	TRUE.TRUE
I-kappa-B kinase (IKK) complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
HSP90-CDC37-LRRK2 complex	3	human	1	2	TRUE	TRUE	TRUE.TRUE
FAS-FADD-CASP8-CASP10 complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
FAS-FADD-CASP10 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
CAV1-VDAC1-ESR1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
FE65-TSHZ3-HDAC1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
BRAF-MAP2K1-MAP2K2-YWHAE complex	4	human	1	1	TRUE	TRUE	TRUE.TRUE
RAF1-MAP2K1-YWHAE complex	3	human	1	1	TRUE	TRUE	TRUE.TRUE
PPP2R1A-PPP2R1B-PPP2CA-PPME1-EIF4A1 complex	5	human	1	4	TRUE	TRUE	TRUE.TRUE
KSR1 homooligomer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
BRAF-RAF1-14-3-3 complex	9	human	2	5	TRUE	TRUE	TRUE.TRUE
KSR1-RAF1-MEK complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
KSR1-BRAF-MEK complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
RAF1-RAS complex, EGF induced	4	human	0	0	FALSE	FALSE	FALSE.FALSE
RAF1-BRAF complex, RAS stimulated	2	human	0	0	FALSE	FALSE	FALSE.FALSE
RAF1-CNK1 complex, RAS stimulated	2	human	0	0	FALSE	FALSE	FALSE.FALSE
BRAF-CNK1 complex, not RAS stimulated	2	human	0	0	FALSE	FALSE	FALSE.FALSE
CNK1 homodimer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
CNK1-SRC-RAF1 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
1,3-beta-glucan synthase complex	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
6-phosphofructokinase complex (GO)	2	yeast	1	0	TRUE	FALSE	TRUE.FALSE
90S preribosome	48	yeast	33	8	TRUE	TRUE	TRUE.TRUE
90S preribosome (GO)	4	yeast	3	1	TRUE	TRUE	TRUE.TRUE
acetolactate synthase complex (GO)	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
actin cytoskeleton-regulatory complex, Pan1p/Sla1p/End3p complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Ada2/Gcn5/Ada3 transcription activator complex	10	yeast	0	4	FALSE	TRUE	FALSE.TRUE
adenylyl cyclase complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
alpha DNA polymerase:primase complex	7	yeast	0	2	FALSE	TRUE	FALSE.TRUE
alpha-1,6-mannosyltransferase complex	6	yeast	0	0	FALSE	FALSE	FALSE.FALSE
alpha-glucosidase II complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
anaphase-promoting complex	16	yeast	0	0	FALSE	FALSE	FALSE.FALSE
anthranilate synthase complex	2	yeast	0	2	FALSE	TRUE	FALSE.TRUE
AP-1 adaptor complex	7	yeast	0	0	FALSE	FALSE	FALSE.FALSE
AP-2 adaptor complex	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
AP-3 adaptor complex	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Apg12p/Apg5p/Apg16 multimeric complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Arl1-arl3-sys1	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Arp2/3 protein complex	8	yeast	1	2	TRUE	TRUE	TRUE.TRUE
Asf1-Rad53 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Atg11-Atg17-Atg29-Cis1 complex	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Atg1p signaling complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Atg20p/Snx4p/Snx41p complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Aurora B-INCENP protein kinase complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
Bni4p/Glc7p complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
box C/D snoRNP complex (GO)	4	yeast	4	3	TRUE	TRUE	TRUE.TRUE
Bub2p/Bfa1p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
bud site selection pathway	6	yeast	0	2	FALSE	TRUE	FALSE.TRUE
Bud14p/Glc7p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Bur1-Bur2 CDK-cyclin complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
CAAX-protein geranylgeranyltransferase complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
CAF-1 complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
calcineurin complex (GO)	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
cAMP-dependent protein kinase complex	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Car1p/Arg3p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
carbamoyl-phosphate synthase complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
carboxy-terminal domain protein kinase complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Cbf1p/Met4p/Met28p complex	3	yeast	0	2	FALSE	TRUE	FALSE.TRUE
CBF3 complex (GO)	4	yeast	0	1	FALSE	TRUE	FALSE.TRUE
Cbp1p/Pet309p complex	2	yeast	2	0	TRUE	FALSE	TRUE.FALSE
CCAAT-binding factor complex	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
CCR4-NOT complex	6	yeast	0	1	FALSE	TRUE	FALSE.TRUE
CCR4-NOT core complex	9	yeast	3	0	TRUE	FALSE	TRUE.FALSE
ccz1-mon1-ypt7	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Cdc24p/Far1p/Gbetagamma protein complex	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Cdc28p/Clb1p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Cdc28p/Clb2p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Cdc28p/Clb5p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Cdc28p/Clb6p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Cdc28p/Cln3p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Cdc42p/Ste20p complex	2	yeast	1	0	TRUE	FALSE	TRUE.FALSE
Cdc48-Shp1 complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
Cdc48-Ufd1-Npl4 complex	3	yeast	0	2	FALSE	TRUE	FALSE.TRUE
Cdc73p/Paf1p complex	7	yeast	3	3	TRUE	TRUE	TRUE.TRUE
chaperonin-containing T-complex	13	yeast	2	6	TRUE	TRUE	TRUE.TRUE
chitin biosynth pathway	6	yeast	0	0	FALSE	FALSE	FALSE.FALSE
cho2-opi3	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
chromatin accessibility complex (GO)	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
chromatin assembly complex (GO)	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
chromatin silencing complex	5	yeast	0	2	FALSE	TRUE	FALSE.TRUE
Chs5p/Arf-1binding proteins (ChAPs)	6	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Chz1p/Htz1p/Htb1p complex	3	yeast	0	1	FALSE	TRUE	FALSE.TRUE
clathrin vesicle coat	4	yeast	0	1	FALSE	TRUE	FALSE.TRUE
Cln-Cdc28 protein kinase complex	8	yeast	0	1	FALSE	TRUE	FALSE.TRUE
cohesin loading complex (GO)	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
COMA complex	11	yeast	0	1	FALSE	TRUE	FALSE.TRUE
commitment complex	21	yeast	21	0	TRUE	FALSE	TRUE.FALSE
COMPASS complex	8	yeast	1	2	TRUE	TRUE	TRUE.TRUE
COPI vesicle coat	8	yeast	0	2	FALSE	TRUE	FALSE.TRUE
COPII	11	yeast	0	0	FALSE	FALSE	FALSE.FALSE
COPII vesicle coat	9	yeast	0	0	FALSE	FALSE	FALSE.FALSE
core H-ACA snoRNP	5	yeast	4	2	TRUE	TRUE	TRUE.TRUE
CORVET complex	6	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Cox14p/Cox1p/Mss51p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
CPF complex	16	yeast	13	3	TRUE	TRUE	TRUE.TRUE
Cpr6-Hsc82-Sti1-Hsp82 complex	4	yeast	1	2	TRUE	TRUE	TRUE.TRUE
Csh1p/Csg2p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Cul3-RING ubiquitin ligase complex (GO)	5	yeast	0	1	FALSE	TRUE	FALSE.TRUE
CURI complex (GO)	5	yeast	1	1	TRUE	TRUE	TRUE.TRUE
cyclin-dependent protein kinase holoenzyme complex (GO)	13	yeast	0	1	FALSE	TRUE	FALSE.TRUE
Cytochrome bc1 complex (Ubiquinol-cytochrome c reductase complex, complex III)	9	yeast	0	0	FALSE	FALSE	FALSE.FALSE
cytoplasmic dynein complex (GO)	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
cytoplasmic ribosomal large subunit	81	yeast	68	24	TRUE	TRUE	TRUE.TRUE
cytoplasmic ribosomal small subunit	57	yeast	27	16	TRUE	TRUE	TRUE.TRUE
cytoskeleton assembly pathway	16	yeast	1	1	TRUE	TRUE	TRUE.TRUE
cytosolic large ribosomal subunit	64	yeast	48	26	TRUE	TRUE	TRUE.TRUE
cytosolic small ribosomal subunit	15	yeast	8	5	TRUE	TRUE	TRUE.TRUE
DASH complex	10	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Dcp1-Dcp2 decapping enzyme complex	4	yeast	3	2	TRUE	TRUE	TRUE.TRUE
Dcs1-Dcs2 heterodimer	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Def1p/Rad26p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
degradosome	2	yeast	2	0	TRUE	FALSE	TRUE.FALSE
delta DNA polymerase complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
dipthamide complex	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
DNA ligase IV complex (GO)	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
DNA replication factor A complex	4	yeast	1	0	TRUE	FALSE	TRUE.FALSE
DNA replication factor C complex (Ctf18p/Ctf8p/dcc1p)	7	yeast	0	0	FALSE	FALSE	FALSE.FALSE
DNA replication factor C complex (Rad24p)	5	yeast	0	0	FALSE	FALSE	FALSE.FALSE
DNA-directed RNA polymerase I complex	15	yeast	0	9	FALSE	TRUE	FALSE.TRUE
DNA-directed RNA polymerase II, holoenzyme	15	yeast	2	8	TRUE	TRUE	TRUE.TRUE
DNA-directed RNA polymerase III complex	18	yeast	0	8	FALSE	TRUE	FALSE.TRUE
Doa10p ubiquitin ligase complex	5	yeast	0	1	FALSE	TRUE	FALSE.TRUE
Dop1-Mon2 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Dpb11p/Sld2p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Dph1-Dph2-Dph3 complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
dynactin complex (GO)	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
eEF1	5	yeast	5	3	TRUE	TRUE	TRUE.TRUE
eIF1/eIF1A/40S complex	2	yeast	2	0	TRUE	FALSE	TRUE.FALSE
eisosome	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
EKC/KEOPS protein complex	5	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Elg1 RFC-like complex	6	yeast	0	2	FALSE	TRUE	FALSE.TRUE
elm1-hsl1-hsl7	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Elongator holoenzyme complex	6	yeast	4	1	TRUE	TRUE	TRUE.TRUE
emc complex	5	yeast	0	0	FALSE	FALSE	FALSE.FALSE
endoplasmic reticulum Sec complex	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
epsilon DNA polymerase complex	5	yeast	1	0	TRUE	FALSE	TRUE.FALSE
ER SNARE Use1	8	yeast	0	0	FALSE	FALSE	FALSE.FALSE
ER V-ATPase assembly complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
ESCRT I complex	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
ESCRT II complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
ESCRT III complex (GO)	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
ESCRT-0 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
ESCRT-IIIb DID4 subcomplex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Esp1p/Pds1p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
eukaryotic translation initiation factor 2B complex	9	yeast	8	5	TRUE	TRUE	TRUE.TRUE
eukaryotic translation initiation factor 3 complex	11	yeast	11	4	TRUE	TRUE	TRUE.TRUE
eukaryotic translation initiation factor 4F complex (JB)	4	yeast	4	1	TRUE	TRUE	TRUE.TRUE
eukaryotic translation initiation factor 4F complex (AB)	5	yeast	5	2	TRUE	TRUE	TRUE.TRUE
exocyst	8	yeast	0	0	FALSE	FALSE	FALSE.FALSE
exosome (RNase complex)	16	yeast	15	1	TRUE	TRUE	TRUE.TRUE
F0/F1 ATP synthase (complex V)	15	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Far3p/Far7p/Far8p/Far9p/Far10p/Far11p complex	6	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Fatty Acid Import Complex	3	yeast	0	1	FALSE	TRUE	FALSE.TRUE
fatty acid synthase complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Fth1p/Fet5p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
GAL3p/GAL80p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
GAL4p/GAL80p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
gamma-tubulin small complex, spindle pole body	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
GARP complex	5	yeast	0	1	FALSE	TRUE	FALSE.TRUE
GCR complex	2	yeast	0	2	FALSE	TRUE	FALSE.TRUE
GET complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
GID complex	8	yeast	0	0	FALSE	FALSE	FALSE.FALSE
GINS complex	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
glycine cleavage complex (GO)	4	yeast	0	1	FALSE	TRUE	FALSE.TRUE
glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex (GO)	6	yeast	0	0	FALSE	FALSE	FALSE.FALSE
